taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey
7247548,Usnea dasypoga (Ach.) Röhl.,7247548,Usnea dasypoga (Ach.) Röhl.,1,SPECIES,DOUBTFUL,Fungi,5,Ascomycota,95,Lecanoromycetes,180,Lecanorales,1048,Parmeliaceae,8305,Usnea,2605982,Usnea dasypoga,7247548
3033131,Thalictrum aquilegifolium L.,3033131,Thalictrum aquilegifolium L.,5,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Ranunculales,399,Ranunculaceae,2410,Thalictrum,3033112,Thalictrum aquilegifolium,3033131
2915121,Galium bernardii Gren.,7779137,Galium lucidum subsp. venustum (Jord.) Arcang.,2,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Gentianales,412,Rubiaceae,8798,Galium,2913027,Galium lucidum,2913863
5498311,Peziza phlebospora (Le Gal) Donadini,5498311,Peziza phlebospora (Le Gal) Donadini,1,SPECIES,ACCEPTED,Fungi,5,Ascomycota,95,Pezizomycetes,316,Pezizales,1057,Pezizaceae,8399,Peziza,8766080,Peziza phlebospora,5498311
3595767,Cistus crispus L.,3595767,Cistus crispus L.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malvales,941,Cistaceae,6635,Cistus,2874026,Cistus crispus,3595767
2176858,"Philaeus chrysops (Poda, 1761)",2176858,"Philaeus chrysops (Poda, 1761)",2,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Arachnida,367,Araneae,1496,Salticidae,5644,Philaeus,2176854,Philaeus chrysops,2176858
1202414,"Solariola Flach, 1908",1202414,"Solariola Flach, 1908",14,GENUS,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Coleoptera,1470,Curculionidae,4239,Solariola,1202414,,
1875327,"Euzophera pinguis (Haworth, 1811)",1875327,"Euzophera pinguis (Haworth, 1811)",1,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Lepidoptera,797,Pyralidae,5336,Euzophera,1875317,Euzophera pinguis,1875327
4365344,"Muricopsis cristata (Brocchi, 1814)",4365344,"Muricopsis cristata (Brocchi, 1814)",12,SPECIES,ACCEPTED,Animalia,1,Mollusca,52,Gastropoda,225,Neogastropoda,982,Muricidae,2304120,Muricopsis,2304272,Muricopsis cristata,4365344
2724120,Carex praecox Schreb.,2724120,Carex praecox Schreb.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Carex,2721893,Carex praecox,2724120
