taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey
3085357,Saponaria ocymoides L.,3085357,Saponaria ocymoides L.,2,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Caryophyllaceae,2518,Saponaria,3085356,Saponaria ocymoides,3085357
2610278,"Botryolepraria lesdainii (Hue) Canals, Hern.-Mar., Gómez-Bolea & Llimona",2610278,"Botryolepraria lesdainii (Hue) Canals, Hern.-Mar., Gómez-Bolea & Llimona",1,SPECIES,ACCEPTED,Fungi,5,Ascomycota,95,Lecanoromycetes,180,Lecanorales,1048,,,Botryolepraria,2610277,Botryolepraria lesdainii,2610278
1848690,"Bryotropha terrella (Denis & Schiffermuller, 1775)",1848690,"Bryotropha terrella (Denis & Schiffermuller, 1775)",3,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Lepidoptera,797,Gelechiidae,3553,Bryotropha,1848677,Bryotropha terrella,1848690
7681436,Cytisus multiflorus Sweet,7681436,Cytisus multiflorus Sweet,24,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Cytisus,8089532,Cytisus multiflorus,7681436
5424689,Ceratium lineatum (Ehrenb.) Cleve,7419343,Tripos lineatus (Ehrenb.) F.Gómez,79,SPECIES,SYNONYM,Chromista,4,Myzozoa,8770992,Dinophyceae,9049014,Gonyaulacales,8775728,Ceratiaceae,7479242,Tripos,7453566,Tripos lineatus,7419343
3595768,Tuberaria commutata M.J.Gallego,3595768,Tuberaria commutata M.J.Gallego,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malvales,941,Cistaceae,6635,Tuberaria,2874023,Tuberaria commutata,3595768
1683928,"Antaxius spinibrachius (Fischer, 1853)",1683928,"Antaxius spinibrachius (Fischer, 1853)",1,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Orthoptera,1458,Tettigoniidae,3991,Antaxius,1683907,Antaxius spinibrachius,1683928
3813164,Spergularia azorica Lebel,3813164,Spergularia azorica Lebel,5,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Caryophyllaceae,2518,Spergularia,3085630,Spergularia azorica,3813164
5282971,"Fissidens angustelimbatus Mitten, 1869",5282971,"Fissidens angustelimbatus Mitten, 1869",1,SPECIES,ACCEPTED,Plantae,6,Bryophyta,35,Bryopsida,327,Fissidentales,1336,Fissidentaceae,4643,Fissidens,2673216,Fissidens angustelimbatus,5282971
2865448,Elodea canadensis Michx.,2865448,Elodea canadensis Michx.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Alismatales,551,Hydrocharitaceae,3721,Elodea,7454696,Elodea canadensis,2865448
